,customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,age,address,postcode,state,country,property_valuation,transaction_id,product_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,profit
12597,1748,Skell,Oxenden,Male,83.0,Recruiter,Manufacturing,Mass Customer,N,Yes,10.0,67.0,09810 Dayton Hill,4035.0,QLD,Australia,8.0,12943,37,2017-03-04,1,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,2008-03-19,1544.6100000000001
12598,2932,Bradly,Deboick,Male,4.0,Account Representative I,IT,Mass Customer,N,No,17.0,38.0,2875 Anhalt Court,4570.0,QLD,Australia,3.0,12944,3,2017-02-03,0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2012-09-15,1702.5499999999997
12600,3219,Denyse,Scutts,Female,94.0,Web Developer III,Financial Services,Mass Customer,N,No,3.0,25.0,423 Mcbride Place,2477.0,NSW,Australia,7.0,12946,33,2017-06-08,1,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11,144.26
12602,2332,Jeff,Goodere,Male,99.0,Developer III,Property,High Net Worth,N,Yes,10.0,46.0,034 Eagan Avenue,2560.0,NSW,Australia,6.0,12948,0,2017-07-16,1,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,2011-01-10,198.29000000000002
12603,1240,Pen,Earey,Female,64.0,Sales Associate,Manufacturing,Mass Customer,N,Yes,19.0,58.0,92 Waubesa Center,2760.0,NSW,Australia,8.0,12949,84,2017-12-11,1,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,1999-07-26,75.48000000000002
12606,2562,Boonie,Withams,Male,98.0,Internal Auditor,Retail,Mass Customer,N,No,13.0,42.0,0 Truax Trail,3677.0,VIC,Australia,5.0,12952,60,2017-04-23,0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,2011-08-24,217.51
12607,47,Matthew,Jeaycock,Male,51.0,Registered Nurse,Health,Affluent Customer,N,No,2.0,30.0,543 Killdeer Park,2322.0,New South Wales,Australia,4.0,12953,100,2017-08-22,0,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,1991-05-06,830.2399999999999
12610,1318,Barbe,Assender,Female,10.0,Senior Developer,Financial Services,Mass Customer,N,Yes,4.0,57.0,889 Straubel Way,4055.0,QLD,Australia,6.0,12956,81,2017-10-05,0,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,2013-09-16,64.50999999999999
12611,1405,Kylie,Spriggin,Female,52.0,VP Product Management,Manufacturing,High Net Worth,N,Yes,11.0,65.0,070 Shelley Terrace,3020.0,VIC,Australia,4.0,12957,0,2017-10-07,1,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,2016-03-29,41.129999999999995
12612,942,Shirley,Brook,Female,31.0,Director of Sales,Financial Services,Mass Customer,N,Yes,14.0,49.0,5413 Burning Wood Plaza,4220.0,QLD,Australia,8.0,12958,44,2017-05-31,0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2006-10-01,1660.88
12615,1641,Vasily,Sturgeon,Male,29.0,Community Outreach Specialist,Financial Services,Mass Customer,N,No,14.0,50.0,20 Mcguire Hill,3198.0,VIC,Australia,4.0,12961,11,2017-02-27,0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,2007-08-04,509.97
12616,1522,Hubie,Thunnerclef,Male,57.0,Paralegal,Financial Services,Mass Customer,N,No,7.0,29.0,79055 Moose Terrace,2176.0,NSW,Australia,9.0,12962,2,2017-01-29,1,Approved,Solex,Standard,medium,medium,71.49,53.62,2012-12-02,17.869999999999997
12618,517,Iona,Fidgeon,Female,73.0,Chief Design Engineer,Property,Mass Customer,N,Yes,3.0,38.0,590 Hayes Court,2027.0,NSW,Australia,11.0,12964,63,2017-07-09,0,Approved,Solex,Standard,medium,medium,1483.2,99.59,1995-10-24,1383.6100000000001
12620,1724,Davita,Pristnor,Female,28.0,Assistant Media Planner,Entertainment,High Net Worth,N,Yes,4.0,24.0,5676 Golf View Junction,2137.0,NSW,Australia,12.0,12966,0,2017-04-22,1,Approved,Solex,Standard,medium,medium,71.49,53.62,2012-09-15,17.869999999999997
12621,1198,Alina,Rickson,Female,73.0,Sales Representative,Retail,High Net Worth,N,No,7.0,49.0,81167 Division Hill,2873.0,NSW,Australia,1.0,12967,99,2017-10-23,1,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,2006-10-01,189.27999999999997
12623,3061,Evie,Bendtsen,Female,51.0,Office Assistant IV,Manufacturing,Affluent Customer,N,Yes,3.0,32.0,11 Farragut Junction,2530.0,NSW,Australia,8.0,12970,9,2017-08-07,0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,2005-12-07,75.13999999999999
12624,1969,Dimitry,Kunkler,Male,54.0,Teacher,IT,Mass Customer,N,Yes,19.0,62.0,248 School Park,3156.0,VIC,Australia,8.0,12971,86,2017-12-13,1,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2005-05-10,110.56
12625,499,Dalli,Baggally,Male,39.0,Budget/Accounting Analyst III,Financial Services,Affluent Customer,N,No,19.0,62.0,02 Boyd Crossing,3143.0,Victoria,Australia,7.0,12972,13,2017-01-22,0,Approved,Solex,Standard,medium,medium,1163.89,589.27,2016-07-09,574.6200000000001
12628,145,Filippo,Ferrara,Male,33.0,Account Executive,Financial Services,Mass Customer,N,No,4.0,26.0,7245 Cottonwood Center,2285.0,New South Wales,Australia,5.0,12975,39,2017-11-15,0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,2010-06-07,1230.27
12631,1950,Berne,Fulkes,Male,27.0,Web Developer II,Manufacturing,Affluent Customer,N,Yes,19.0,59.0,227 Havey Trail,2795.0,NSW,Australia,6.0,12978,40,2017-08-24,0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,1999-12-04,583.2700000000001
12632,1546,Natalya,Moscone,Female,22.0,Compensation Analyst,Financial Services,Mass Customer,N,Yes,8.0,66.0,2 Eastwood Street,2153.0,NSW,Australia,10.0,12979,4,2017-01-23,1,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,2005-08-09,451.6500000000001
12633,1199,Ludovico,Bertot,Male,7.0,VP Accounting,Financial Services,Affluent Customer,N,Yes,5.0,65.0,761 Bellgrove Lane,2541.0,NSW,Australia,7.0,12980,1,2017-03-31,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2011-08-29,448.67999999999995
12634,1178,Angelo,Byne,Male,1.0,Pharmacist,Health,Mass Customer,N,No,13.0,53.0,0005 Independence Drive,2118.0,NSW,Australia,9.0,12981,72,2017-10-20,0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,2016-12-06,90.09999999999997
12637,143,Kendall,Figg,Male,19.0,Operator,Argiculture,Mass Customer,N,Yes,11.0,65.0,15673 Farmco Point,4017.0,QLD,Australia,6.0,12984,77,2017-01-26,1,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,2004-07-25,445.2099999999999
12638,2212,Adrianne,Raoux,Female,22.0,Technical Writer,Manufacturing,Affluent Customer,N,Yes,20.0,49.0,9 Killdeer Avenue,4227.0,QLD,Australia,7.0,12985,17,2017-07-04,1,Approved,Solex,Standard,high,medium,1024.66,614.8,1996-11-09,409.8600000000001
12639,993,Reine,Semken,Female,71.0,Account Coordinator,Argiculture,High Net Worth,N,No,17.0,46.0,84019 Porter Trail,2871.0,NSW,Australia,3.0,12986,0,2017-06-09,1,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,1997-10-04,45.96000000000001
12640,1357,Waylin,Eassom,Male,69.0,Research Nurse,Health,High Net Worth,N,No,6.0,30.0,43811 Golf View Road,3380.0,VIC,Australia,1.0,12987,0,2017-06-01,1,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,2005-05-10,72.59999999999997
12641,2492,Gayelord,Lipman,Male,35.0,Design Engineer,Manufacturing,High Net Worth,N,No,9.0,49.0,46 Victoria Center,2770.0,NSW,Australia,9.0,12988,40,2017-08-12,1,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,2003-07-21,1295.43
12642,1404,Emmott,Mercik,Male,78.0,Chemical Engineer,Manufacturing,Mass Customer,N,Yes,14.0,66.0,88545 Milwaukee Center,3022.0,VIC,Australia,8.0,12989,11,2017-04-09,1,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,2013-03-12,509.97
12643,2113,Nita,Bushell,Female,91.0,Internal Auditor,Manufacturing,Affluent Customer,N,No,17.0,51.0,15 Mcguire Junction,4128.0,QLD,Australia,6.0,12990,43,2017-06-29,0,Approved,Solex,Standard,medium,medium,1151.96,649.49,1999-12-04,502.47
12645,3291,Cindy,Eakin,Female,33.0,Staff Accountant II,Manufacturing,Mass Customer,N,No,13.0,67.0,48333 Waywood Road,2113.0,NSW,Australia,11.0,12992,30,2017-07-08,1,Approved,Solex,Standard,high,medium,748.17,448.9,1991-11-10,299.27
12646,979,Kayla,Falkingham,Female,42.0,Budget/Accounting Analyst I,Manufacturing,High Net Worth,N,No,12.0,63.0,938 Monica Park,3173.0,VIC,Australia,9.0,12993,59,2017-02-25,1,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,2003-01-05,155.6500000000001
12647,2245,Elsinore,Banbrook,Female,11.0,Marketing Manager,Argiculture,Mass Customer,N,No,3.0,43.0,863 Crescent Oaks Hill,4215.0,QLD,Australia,1.0,12994,95,2017-10-17,1,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,2006-11-10,41.129999999999995
12649,1597,Jeffry,Slowly,Male,93.0,Nurse Practicioner,Retail,Affluent Customer,N,No,14.0,46.0,019 Derek Hill,2224.0,NSW,Australia,10.0,12996,47,2017-04-09,1,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,2006-10-01,189.27999999999997
12651,856,Peyton,Monkeman,Male,63.0,Quality Engineer,Financial Services,Mass Customer,N,Yes,9.0,34.0,94 Anhalt Way,3139.0,VIC,Australia,7.0,12998,86,2017-07-03,1,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,2004-08-07,110.56
12653,1762,Gaye,Steutly,Female,49.0,Research Assistant II,Health,Mass Customer,N,Yes,18.0,45.0,636 Debs Circle,3039.0,VIC,Australia,9.0,13000,41,2017-05-31,1,Approved,Solex,Road,medium,medium,416.98,312.74,1997-05-10,104.24000000000001
12654,1868,Aloisia,Ivel,Female,11.0,Assistant Manager,Retail,Mass Customer,N,No,10.0,35.0,87705 Hovde Center,4870.0,QLD,Australia,5.0,13001,63,2017-12-04,1,Approved,Solex,Standard,medium,medium,1483.2,99.59,2004-08-17,1383.6100000000001
12655,499,Dalli,Baggally,Male,39.0,Budget/Accounting Analyst III,Financial Services,Affluent Customer,N,No,19.0,62.0,02 Boyd Crossing,3143.0,Victoria,Australia,7.0,13002,30,2017-11-05,1,Approved,Solex,Standard,high,medium,748.17,448.9,1991-11-10,299.27
12656,1644,Gaby,Harriot,Male,57.0,Speech Pathologist,Health,Mass Customer,N,No,10.0,53.0,4 Mariners Cove Street,2043.0,NSW,Australia,9.0,13003,8,2017-04-11,0,Approved,Solex,Road,medium,small,1703.52,1516.13,2011-04-16,187.38999999999987
12657,3217,Lorena,Titterrell,Female,95.0,Physical Therapy Assistant,Manufacturing,Mass Customer,N,No,8.0,55.0,17 Nevada Drive,2122.0,NSW,Australia,11.0,13004,78,2017-09-27,1,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2004-07-25,1055.82
12658,233,Art,Barwell,Male,34.0,Environmental Tech,Property,Mass Customer,N,No,13.0,37.0,2 Northridge Street,2508.0,NSW,Australia,10.0,13005,98,2017-05-15,1,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,2004-01-16,143.35999999999999
12659,2277,Gillie,Ruben,Female,44.0,Cost Accountant,Financial Services,High Net Worth,N,Yes,7.0,60.0,09 Grim Lane,3752.0,VIC,Australia,4.0,13006,21,2017-11-24,1,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,1994-09-09,1103.43
12660,28,Fee,Zellmer,Male,5.0,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21.0,49.0,48 Eagan Avenue,4868.0,QLD,Australia,4.0,13007,82,2017-07-16,0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,2004-12-18,459.46000000000015
12661,2976,Lindsay,Beausang,Male,16.0,Tax Accountant,Health,Mass Customer,N,Yes,8.0,59.0,85 Kim Way,3140.0,VIC,Australia,9.0,13008,88,2017-04-24,0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,2005-05-10,817.36
12662,1818,Katha,Lockhurst,Female,64.0,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,11.0,56.0,42952 Fairfield Center,3012.0,VIC,Australia,8.0,13009,17,2017-06-30,0,Approved,Solex,Standard,high,medium,1024.66,614.8,2010-05-05,409.8600000000001
12664,1587,Kevan,Laminman,Male,17.0,Software Test Engineer III,Entertainment,Affluent Customer,N,Yes,12.0,37.0,7 Laurel Junction,2079.0,NSW,Australia,10.0,13012,90,2017-04-02,1,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,2016-03-29,72.59999999999997
12665,2001,Mada,Martinho,Female,21.0,Analog Circuit Design manager,Manufacturing,Mass Customer,N,Yes,3.0,45.0,3 Bonner Point,2800.0,NSW,Australia,4.0,13013,16,2017-05-11,1,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,1997-05-10,182.81000000000017
12666,1667,Jaime,Simonnin,Male,67.0,Geological Engineer,Manufacturing,High Net Worth,N,No,18.0,68.0,9168 Thackeray Place,2026.0,NSW,Australia,12.0,13014,13,2017-10-15,0,Approved,Solex,Standard,medium,medium,1577.53,826.51,2011-03-16,751.02
12667,2620,Henderson,Koubek,Male,26.0,Civil Engineer,Manufacturing,Mass Customer,N,No,1.0,24.0,61 Northfield Pass,2190.0,NSW,Australia,10.0,13015,58,2017-10-08,0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,2015-10-18,771.12
12668,2464,Cleve,Jindrak,Male,78.0,Speech Pathologist,Retail,Mass Customer,N,No,6.0,40.0,3126 Butterfield Pass,2573.0,NSW,Australia,8.0,13016,78,2017-11-05,0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2004-07-25,1055.82
12669,757,Kinsley,Klimus,Male,91.0,Environmental Tech,Financial Services,Mass Customer,N,No,18.0,46.0,195 Knutson Place,4019.0,QLD,Australia,8.0,13017,57,2017-08-17,1,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,1991-01-21,1630.25
12670,2454,Gene,Brome,Female,81.0,Senior Sales Associate,Property,Mass Customer,N,Yes,12.0,63.0,15 Shelley Hill,2164.0,NSW,Australia,8.0,13018,6,2017-06-30,0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,2003-02-07,91.15
12671,2484,Elise,Slimm,Female,77.0,Senior Quality Engineer,Property,Mass Customer,N,Yes,14.0,43.0,0 Union Plaza,2444.0,NSW,Australia,7.0,13019,96,2017-03-05,0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,1994-08-10,129.01
12674,2419,Aron,Karlsen,Male,96.0,Physical Therapy Assistant,Property,High Net Worth,N,No,9.0,45.0,240 Lake View Road,4118.0,QLD,Australia,5.0,13022,99,2017-04-24,1,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,2006-10-01,189.27999999999997
12675,2523,Lauree,Shewery,Female,28.0,VP Marketing,Financial Services,Mass Customer,N,Yes,9.0,61.0,9 Oak Park,4205.0,QLD,Australia,4.0,13023,51,2017-10-15,1,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,2001-11-25,802.26
12676,566,Datha,McPheat,Female,66.0,Systems Administrator I,Financial Services,High Net Worth,N,Yes,9.0,44.0,396 Butternut Point,2230.0,NSW,Australia,12.0,13024,85,2017-11-08,1,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,1991-07-10,827.1599999999999
12677,2981,Benny,Jadczak,Male,26.0,Sales Representative,Retail,High Net Worth,N,Yes,21.0,43.0,9 7th Pass,2760.0,NSW,Australia,9.0,13026,0,2017-11-08,1,Approved,Solex,Standard,medium,medium,71.49,53.62,2012-12-02,17.869999999999997
12679,1659,Olva,Sheehy,Female,75.0,Software Consultant,Property,High Net Worth,N,Yes,13.0,33.0,82598 Arkansas Hill,2088.0,NSW,Australia,12.0,13029,0,2017-06-05,1,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2000-05-22,167.20999999999998
12680,435,Jerome,Muggeridge,Male,5.0,GIS Technical Architect,Telecommunications,Mass Customer,N,No,1.0,23.0,4284 Surrey Circle,2068.0,NSW,Australia,12.0,13030,44,2017-02-02,0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2011-05-09,1660.88
12682,2864,Mariejeanne,Laise,Female,36.0,Analog Circuit Design manager,IT,Mass Customer,N,No,21.0,48.0,3 Vermont Junction,3757.0,VIC,Australia,6.0,13032,96,2017-05-22,0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,1995-12-19,129.01
12684,1882,Justin,Ragless,Male,86.0,Account Executive,Manufacturing,Affluent Customer,N,No,10.0,59.0,9 Superior Terrace,2199.0,NSW,Australia,9.0,13034,58,2017-03-28,1,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,2015-10-18,771.12
12685,2383,Zaria,Eberz,Female,34.0,Compensation Analyst,Financial Services,Mass Customer,N,No,15.0,44.0,25925 Service Crossing,2147.0,NSW,Australia,9.0,13035,28,2017-05-16,1,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,1991-08-05,133.7800000000002
12686,3029,Timmie,Gori,Male,85.0,Business Systems Development Analyst,Manufacturing,Mass Customer,N,No,13.0,45.0,31435 Eagle Crest Drive,2230.0,NSW,Australia,10.0,13036,47,2017-01-09,0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,2006-10-01,189.27999999999997
12687,1302,Ericka,Eggers,Female,29.0,Biostatistician I,Financial Services,Affluent Customer,N,Yes,2.0,25.0,9 Sugar Junction,4053.0,QLD,Australia,7.0,13037,17,2017-03-21,1,Approved,Solex,Standard,high,medium,1024.66,614.8,2009-03-08,409.8600000000001
12689,1668,Aurlie,Bolter,Female,75.0,Financial Advisor,Financial Services,Mass Customer,N,No,8.0,58.0,4889 Tomscot Park,2093.0,NSW,Australia,11.0,13039,59,2017-07-27,0,Approved,Solex,Standard,medium,large,1061.56,733.58,1993-07-20,327.9799999999999
12690,1999,Raquel,Bamlett,Female,6.0,Nuclear Power Engineer,Manufacturing,Mass Customer,N,Yes,7.0,61.0,7875 Fieldstone Pass,4216.0,QLD,Australia,10.0,13040,99,2017-05-17,1,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,1994-08-10,456.44999999999993
12691,2600,Darnell,Wistance,Male,55.0,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,1.0,22.0,37258 Stephen Place,4116.0,QLD,Australia,9.0,13041,44,2017-01-27,0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2012-06-04,1660.88
12693,337,Shaylah,Urquhart,Female,67.0,Statistician IV,Argiculture,High Net Worth,N,Yes,12.0,43.0,1 Rowland Circle,3105.0,VIC,Australia,10.0,13043,0,2017-10-17,0,Approved,Solex,Standard,medium,medium,71.49,53.62,2012-12-02,17.869999999999997
12696,1361,Gradeigh,Saltmarshe,Male,56.0,Professor,Manufacturing,Affluent Customer,N,No,19.0,58.0,1 Boyd Terrace,3280.0,VIC,Australia,4.0,13046,7,2017-12-02,1,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,2004-09-28,745.94
12697,246,Binny,Whight,Female,63.0,Technical Writer,Manufacturing,High Net Worth,N,No,9.0,32.0,25503 Evergreen Drive,4300.0,QLD,Australia,5.0,13047,0,2017-10-17,0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,2016-12-06,90.09999999999997
12698,2594,Sigismond,Stockow,Male,90.0,Internal Auditor,Manufacturing,Mass Customer,N,No,2.0,26.0,3 Pennsylvania Terrace,2197.0,NSW,Australia,9.0,13048,25,2017-04-01,1,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2016-02-04,709.34
12699,2122,Osborne,Nawton,Male,85.0,Registered Nurse,Health,High Net Worth,N,Yes,11.0,50.0,0899 Judy Pass,3072.0,VIC,Australia,10.0,13049,72,2017-12-22,0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,1998-12-17,771.12
12700,1658,Selina,Clow,Female,17.0,Sales Representative,Retail,Mass Customer,N,Yes,5.0,29.0,17974 Kedzie Circle,2795.0,NSW,Australia,7.0,13050,98,2017-02-02,0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,1991-05-06,143.35999999999999
12701,2763,Dalila,Snawdon,Female,30.0,Actuary,Financial Services,Mass Customer,N,Yes,10.0,44.0,5772 Ridgeway Place,3066.0,VIC,Australia,10.0,13051,82,2017-09-09,1,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,1998-12-16,459.46000000000015
12702,3201,Zed,Blanckley,Male,61.0,Assistant Professor,Financial Services,Mass Customer,N,Yes,1.0,23.0,020 Bartillon Park,2767.0,NSW,Australia,8.0,13052,12,2017-02-09,1,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,1994-09-09,1069.5500000000002
12703,2956,Thedric,Bolding,Male,17.0,Quality Control Specialist,Telecommunications,Mass Customer,N,Yes,19.0,63.0,8007 Dawn Terrace,2166.0,NSW,Australia,9.0,13053,18,2017-08-27,1,Approved,Solex,Standard,medium,medium,575.27,431.45,1993-10-02,143.82
12704,1591,Fonz,Jankin,Male,4.0,Operator,Manufacturing,Mass Customer,N,Yes,14.0,46.0,54 Veith Drive,2073.0,NSW,Australia,12.0,13054,59,2017-12-01,1,Approved,Solex,Standard,medium,large,1061.56,733.58,2010-11-05,327.9799999999999
12709,509,Tobe,Vamplew,Male,64.0,Developer II,Financial Services,Affluent Customer,N,Yes,21.0,44.0,9 Bayside Hill,4123.0,QLD,Australia,6.0,13060,46,2017-01-10,1,Approved,Solex,Standard,low,medium,1289.85,74.51,2012-06-04,1215.34
12710,2014,Sandye,Avraam,Female,49.0,Associate Professor,Manufacturing,Mass Customer,N,Yes,8.0,33.0,828 Waubesa Pass,2234.0,NSW,Australia,10.0,13061,66,2017-09-29,0,Approved,Giant Bicycles,Road,low,small,590.26,525.33,2005-10-22,64.92999999999995
12711,2328,Gayler,Shackle,Male,63.0,Dental Hygienist,Health,Mass Customer,N,Yes,8.0,37.0,6505 Fieldstone Alley,4037.0,QLD,Australia,8.0,13062,45,2017-08-01,0,Approved,Solex,Standard,medium,medium,441.49,84.99,2006-10-01,356.5
12712,2592,Archibaldo,Argrave,Male,84.0,Help Desk Operator,Financial Services,Mass Customer,N,Yes,1.0,28.0,303 Michigan Avenue,3977.0,VIC,Australia,5.0,13063,3,2017-06-06,1,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2005-08-09,1702.5499999999997
12714,3196,Teddi,Adcocks,Female,11.0,Engineer IV,Health,Mass Customer,N,No,8.0,46.0,972 Lake View Terrace,3977.0,VIC,Australia,7.0,13065,65,2017-05-09,0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,2015-05-21,1028.76
12715,3120,Lauree,O'Donnell,Female,89.0,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,44.0,4 Shopko Circle,2196.0,NSW,Australia,5.0,13066,38,2017-01-20,1,Approved,Solex,Standard,medium,medium,1577.53,826.51,1993-04-12,751.02
12719,3047,Eddy,Cossans,Male,20.0,Speech Pathologist,Retail,Mass Customer,N,Yes,19.0,61.0,85 Northland Circle,2077.0,NSW,Australia,10.0,13070,15,2017-11-26,0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,2009-03-08,209.84000000000003
12720,2060,Constancia,Akram,Female,17.0,Statistician II,Financial Services,Mass Customer,N,No,17.0,64.0,74164 Village Green Parkway,3037.0,VIC,Australia,9.0,13071,100,2017-09-18,1,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,1991-05-06,830.2399999999999
12721,679,Yolande,Whild,Female,29.0,Registered Nurse,Health,Mass Customer,N,No,12.0,48.0,558 Maple Court,2557.0,NSW,Australia,9.0,13072,71,2017-02-15,1,Approved,Solex,Standard,high,large,1842.92,1105.75,1995-10-24,737.1700000000001
12722,530,Townie,Perez,Male,2.0,Recruiter,Manufacturing,Mass Customer,N,No,15.0,48.0,35796 Buhler Plaza,3108.0,Victoria,Australia,10.0,13073,9,2017-07-21,0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,1991-11-07,75.13999999999999
12723,3402,Krystyna,Scadden,Female,73.0,Statistician II,Retail,Mass Customer,N,No,10.0,38.0,73 Glacier Hill Drive,2880.0,NSW,Australia,1.0,13074,41,2017-08-24,1,Approved,Solex,Road,medium,medium,416.98,312.74,1997-05-10,104.24000000000001
12724,1462,Omero,Hauxley,Male,16.0,VP Accounting,Financial Services,Mass Customer,N,Yes,1.0,27.0,4 Stone Corner Avenue,4503.0,QLD,Australia,6.0,13075,32,2017-08-26,1,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,2006-02-02,431.33000000000004
12726,1627,Vladimir,Morphet,Male,44.0,Librarian,Entertainment,Affluent Customer,N,No,16.0,61.0,0 Namekagon Circle,3150.0,VIC,Australia,9.0,13077,77,2017-12-06,1,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,2011-01-10,445.2099999999999
12727,1043,Giorgi,Hurford,Male,34.0,Sales Associate,Financial Services,Mass Customer,N,Yes,16.0,36.0,91 Spohn Plaza,4573.0,QLD,Australia,7.0,13078,68,2017-03-01,0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,1995-10-24,1592.19
12729,429,Berny,Bold,Female,7.0,Community Outreach Specialist,IT,High Net Worth,N,Yes,21.0,45.0,25386 Fallview Place,2340.0,NSW,Australia,3.0,13080,35,2017-07-28,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2012-12-02,448.67999999999995
12731,2566,Nani,Brilleman,Female,48.0,Accountant II,Entertainment,Affluent Customer,N,Yes,6.0,26.0,54 Miller Parkway,3041.0,VIC,Australia,8.0,13082,41,2017-09-10,1,Approved,Solex,Road,medium,medium,416.98,312.74,1993-04-12,104.24000000000001
12734,1818,Katha,Lockhurst,Female,64.0,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,11.0,56.0,42952 Fairfield Center,3012.0,VIC,Australia,8.0,13085,15,2017-04-01,1,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,1993-10-02,209.84000000000003
12735,2806,Thorndike,Glossop,Male,60.0,Programmer Analyst II,Manufacturing,Mass Customer,N,Yes,3.0,37.0,3140 Hudson Road,3130.0,VIC,Australia,5.0,13086,1,2017-02-06,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2011-08-29,448.67999999999995
12736,3077,Emelen,Gillopp,Male,19.0,Information Systems Manager,Manufacturing,Affluent Customer,N,No,2.0,23.0,25578 Mayfield Drive,2099.0,NSW,Australia,10.0,13087,17,2017-04-14,1,Approved,Solex,Standard,high,medium,1024.66,614.8,2010-11-05,409.8600000000001
12737,2402,Merrielle,Strafen,Female,99.0,Cost Accountant,Financial Services,Mass Customer,N,Yes,8.0,66.0,1 Coolidge Plaza,2150.0,NSW,Australia,7.0,13088,1,2017-10-13,1,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2012-12-02,448.67999999999995
